,mc1,mc2,mc3,mc4,mc5
EX_12dgr180,0.0,0.0,0.0,0.0,0.0
EX_26dap_M,61.27870707396437,7.669634092893375,15.49627721241086,0.06609751742792014,149.69053354565335
EX_2ddglcn,0.0,0.0,0.0,0.0,0.0
EX_2dmmq8,-0.0010983525966139,-0.0077477511023289,-0.0039115623128509,-0.0001081774843214589,-0.0008402881619531399
EX_2obut,61.37800000012567,7.671998061640238,15.51397339236746,0.06624760012573461,149.780101292881
EX_34dhphe,0.0,0.0,0.0,0.0,0.0
EX_3mop,-0.0015351172128248,-0.0811226666503444,-0.0393044527768324,-0.0011200814832363903,-0.0004232755641169206
EX_4abz,0.0,0.0,0.0,0.0,0.0
EX_4hbz,0.0,0.0,0.0,0.0,0.0
EX_5htrp,0.0,0.0,0.0,0.0,0.0
EX_7a_czp,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_C02528,105.37400000012576,0.8293773928232895,80.96399473811607,1.6861820034780521,50.14601248399276
EX_Lcyst,0.0,0.0,0.0,0.0,0.0
EX_Ser_Thr,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_T_antigen,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_Tn_antigen,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_ac,400.0600000007541,400.0600000007541,400.0600000007541,399.99384906778187,400.06000000075437
EX_acald,112.77920000037716,391.1173730552716,270.07134404768976,7.09471240469702,52.202322591285565
EX_acgal,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_acgam,6.146000000125696,354.32601755817313,188.35974935739185,4.9148000001257515,1.363109937050126
EX_acnam,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_ade,105.36466617913698,362.2960095146093,232.9485929924272,5.586703036971585,169.090650358409
EX_adn,33.603984240997306,0.3600781034294869,30.68811768358637,128.19621465774208,30.926030020190865
EX_adocbl,0.0,0.0,0.0,0.0,0.0
EX_ala_D,174.09683924205115,398.5783373315032,285.4443476607553,7.157282600879171,201.93941835524083
EX_ala_L,341.2569695375464,399.9803768074276,390.2751118046542,399.9806790306359,350.640786992152
EX_alaasp,0.0,0.0,0.0,0.0,0.0
EX_alagln,0.0,0.0,0.0,0.0,0.0
EX_alaglu,0.0,0.0,0.0,0.0,0.0
EX_alagly,0.0,0.0,0.0,0.0,0.0
EX_alahis,0.0,0.0,1.1368683772161605e-13,0.0,0.0
EX_alaleu,0.0,0.0,1.1368683772161605e-13,0.0,0.0
EX_alathr,0.0,0.0,0.0,0.0,0.0
EX_alltn,0.0,0.0,0.0,0.0,0.0
EX_amp,5.245652695165859,273.9661911849146,131.38488943545872,3.796621542647358,1.4849882513578905
EX_anzp,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_arab_L,0.0,0.0,0.0,0.0,0.0
EX_arbt,0.0,0.0,0.0,0.0,0.0
EX_arg_L,-7.6032375272169475,-0.1995537301597778,-1.44871199744955,-0.25558085218665383,-6.365198986124483
EX_asn_L,277.0515184084286,399.8913259220281,379.54351012920574,399.6953307199901,296.67688489182297
EX_asp_L,277.1032000006285,399.8918744406342,379.5984909299766,399.8925063903914,296.724447472566
EX_bhb,0.0,0.0,0.0,0.0,0.0
EX_btn,0.0,0.0,0.0,0.0,0.0
